trading_date,overnight_return,morning_return,signal_payoff,accuracy_denominator,correct,day_session_minute_coverage,source_file_sha256,transform_version
2019-12-04,-0.01098084023233758,0.00043290043966095175,0.00043290043966095175,1,1,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-05,0.009474661747049348,-0.0027900007367267746,0.0027900007367267746,1,1,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-06,0.000857265376118367,0.0010705492939795688,-0.0010705492939795688,1,0,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-09,0.004258950219566847,-0.004685844569699777,0.004685844569699777,1,1,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-10,-0.002563008664889495,0.0,0.0,0,0,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-11,0.0004267121891076239,-0.003418806748785609,0.003418806748785609,1,1,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-12,0.002776889534061084,0.00021328783273766332,-0.00021328783273766332,1,0,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-13,0.014604979680785349,0.003775172268851459,-0.003775172268851459,1,0,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-16,-0.001878718849219938,0.00020892092419033472,0.00020892092419033472,1,1,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-17,0.0066750352140520315,-0.0029148469524019455,0.0029148469524019455,1,1,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-18,-0.0018755866704947225,-0.0012523483164659486,-0.0012523483164659486,1,0,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-19,0.00020970955303874455,-0.0012589174973639367,0.0012589174973639367,1,1,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-20,-0.00041981528744210254,-0.0044187341755096,-0.0044187341755096,1,0,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-23,0.004622828152828302,-0.002518893019483915,0.002518893019483915,1,1,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-24,0.0010514142488935179,-0.0018933423137811995,0.0018933423137811995,1,1,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-25,0.0008417508914524222,-0.0010522993710174106,0.0010522993710174106,1,1,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-26,-0.0010540740935905655,0.0050494531861840644,0.0050494531861840644,1,1,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-27,0.0027222297200455983,-0.0010461346283081568,0.0010461346283081568,1,1,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2019-12-30,-0.0035718075582643893,-0.0029510982631695925,-0.0029510982631695925,1,0,1.0,2de8414c0f854a54e54eb3ef922542c3ef19178d5316176307e4e99cae869e3e,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-06,-0.018795939931376147,-0.0008628128231554957,-0.0008628128231554957,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-07,0.00732761899415185,0.0072743153460808774,-0.0072743153460808774,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-08,-0.01715675795682254,-0.0019486852545264818,-0.0019486852545264818,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-09,0.016079240193015324,0.004667948217238071,-0.004667948217238071,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-10,0.0031602259525509656,-0.0016842109244304085,0.0016842109244304085,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-14,0.0056574273472082826,0.002920928427663698,-0.002920928427663698,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-15,-0.0037578332321421006,0.0014630580517603152,0.0014630580517603152,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-16,0.003137749671967165,-0.0018814680997055087,0.0018814680997055087,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-17,0.007078938576327279,-0.0037414302634474457,0.0037414302634474457,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-20,-0.00020800832108281247,0.0010396092006088886,0.0010396092006088886,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-21,-0.0012474014091486444,-0.00772688401157382,-0.00772688401157382,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-22,-0.002099958772544223,0.00398615864015644,0.00398615864015644,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-23,-0.008781156153066077,0.0012591816983776015,0.0012591816983776015,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-24,0.002312625859886844,-0.002102166004327203,0.002102166004327203,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-27,-0.02143773067406713,0.0034268613531452203,0.0034268613531452203,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-28,-0.007322884328307038,-0.0006487188031590464,-0.0006487188031590464,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-29,0.005592615136060208,0.00042890843462583926,-0.00042890843462583926,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-30,-0.004290010869507931,-0.0047403665582752535,-0.0047403665582752535,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-01-31,0.008680610064305852,0.004957440910529744,-0.004957440910529744,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-03,-0.016115331337211845,0.006782653723790979,0.006782653723790979,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-04,-0.003060780701743197,0.005459124814403306,0.005459124814403306,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-05,0.011421307216116533,-0.0027894020875785254,0.0027894020875785254,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-06,0.014247981592904527,0.0018985344801867312,-0.0018985344801867312,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-07,0.0004180602067577146,-0.004188487798752135,0.004188487798752135,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-10,-0.008438868645864595,0.005282632464427218,0.005282632464427218,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-12,0.010103222121594323,-0.0035665620519276155,0.0035665620519276155,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-13,0.002717677014999111,-0.003136437490130272,0.003136437490130272,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-14,-0.0037902761737808022,-0.0012666246151929424,-0.0012666246151929424,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-17,-0.0025434519858302555,-0.0021244962314078066,-0.0021244962314078066,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-18,-0.0036212628773070587,-0.0079271973771562,-0.0079271973771562,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-19,0.004518566052825399,-0.00042946103301252713,0.00042946103301252713,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-20,0.012118783375490036,0.002743485945750834,-0.002743485945750834,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-21,-0.0010646226918469045,0.00042598509696355105,0.00042598509696355105,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-25,-0.04470507758889743,0.016889290347309308,0.016889290347309308,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
