event_date,release_time_jst,baseline_rv_1m,event_rv_1m,log_event_to_baseline_rv_ratio,baseline_return_count,event_return_count,source_event_url,transform_version
2010-04-07,14:00,2.915347911384667e-06,3.309661038504126e-06,0.12685661407431184,30,30,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2010/k100407.pdf,BOJ_MPM_EVENT_VOL_G1_V1
2010-04-30,13:18,4.487053141669142e-06,3.2558333259578493e-06,-0.3207479133842543,30,30,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2010/k100430.pdf,BOJ_MPM_EVENT_VOL_G1_V1
2010-05-21,14:00,1.9592174839816905e-05,2.339784240912091e-05,0.17751356972277163,30,30,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2010/k100521.pdf,BOJ_MPM_EVENT_VOL_G1_V1
2010-06-15,14:00,5.35492381628167e-06,6.3837358534874275e-06,0.17573700581093363,30,30,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2010/k100615.pdf,BOJ_MPM_EVENT_VOL_G1_V1
2010-07-15,14:00,5.311325067120809e-06,3.1920047132259284e-06,-0.5091921897929883,30,30,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2010/k100715.pdf,BOJ_MPM_EVENT_VOL_G1_V1
2010-08-10,14:00,8.550823074813234e-06,7.170544734237549e-06,-0.17604591855804164,30,30,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2010/k100810.pdf,BOJ_MPM_EVENT_VOL_G1_V1
2010-09-07,14:00,1.7007374152488605e-05,6.4712309682486e-06,-0.9662806754195575,30,30,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2010/k100907.pdf,BOJ_MPM_EVENT_VOL_G1_V1
2010-10-05,14:00,0.00010992751387391179,4.338296672404785e-05,-0.9297542915240468,30,30,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2010/k101005.pdf,BOJ_MPM_EVENT_VOL_G1_V1
2010-10-28,13:31,1.7072744125934098e-06,3.11848513526845e-05,2.9050342552141895,30,30,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2010/k101028.pdf,BOJ_MPM_EVENT_VOL_G1_V1
2010-11-05,14:00,4.829862455128638e-06,6.426225609688607e-06,0.2855693789013579,30,30,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2010/k101105.pdf,BOJ_MPM_EVENT_VOL_G1_V1
2010-12-21,14:00,4.2039574313716215e-06,3.0353760824152952e-06,-0.3256909952559899,30,30,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2010/k101221.pdf,BOJ_MPM_EVENT_VOL_G1_V1
2011-01-25,14:00,2.9694525051478243e-06,4.120347392129598e-06,0.32755988416427656,30,30,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2011/k110125a.pdf,BOJ_MPM_EVENT_VOL_G1_V1
2011-02-15,14:00,3.679174147910522e-06,1.9483073868859142e-06,-0.6357273217523154,30,30,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2011/k110215.pdf,BOJ_MPM_EVENT_VOL_G1_V1
