trading_date,day_session_minute_coverage,h1_pairs,h1_accuracy_denominator,h1_correct,h1_signal_payoff_sum,h1_daily_mean_signal_payoff,h1_zero_predecessor_count,h1_zero_target_count,h2_nonoverlap_10m_blocks,h2_pairs,h2_accuracy_denominator,h2_correct,h2_signal_payoff_sum,h2_daily_mean_signal_payoff,h2_zero_predecessor_count,h2_zero_target_count,source_file_sha256,transform_version
2007-03-28,1.0,214,171,84,-2.5384820547932267e-05,-1.1862065676603863e-07,62,43,26,24,24,12,0.0008565752671903086,3.569063613292952e-05,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-03-29,1.0,207,155,77,0.0025694615777366835,1.2412857863462239e-05,69,52,26,24,24,14,0.0026226808080168362,0.00010927836700070151,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-03-30,1.0,184,122,57,-0.002014657363717808,-1.0949224802814174e-05,92,62,26,24,24,11,-0.005758970597449916,-0.00023995710822707984,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-02,1.0,194,140,54,-0.011787551118762991,-6.076057277712882e-05,82,54,26,24,24,10,-0.00464294944015642,-0.00019345622667318418,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-03,1.0,196,140,57,-0.010443381060992596,-5.3282556433635695e-05,80,56,26,24,24,18,0.016013666100277026,0.0006672360875115427,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-04,1.0,178,120,43,-0.006542947313573972,-3.675813097513467e-05,98,58,26,24,24,14,-0.0017219936413340382,-7.174973505558493e-05,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-05,1.0,179,122,51,-0.006288824674390019,-3.513309873960904e-05,97,57,26,24,24,12,0.0011406575193528025,4.75273966397001e-05,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-06,1.0,165,103,41,-0.007992570583139517,-4.843982171599707e-05,111,62,26,24,24,14,0.003995195308652918,0.0001664664711938716,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-09,1.0,156,87,28,-0.013827227206309616,-8.863607183531806e-05,120,69,26,24,24,11,-0.005073264788598384,-0.00021138603285826598,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-10,1.0,147,81,38,-0.0002825262268988689,-1.921947121761013e-06,129,66,26,24,24,10,-0.005372949239237922,-0.00022387288496824676,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-11,1.0,177,123,43,-0.014134290394236311,-7.985474799003566e-05,99,54,26,24,24,11,0.0008501407851768553,3.54225327157023e-05,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-12,1.0,164,105,39,-0.008580089094576783,-5.2317616430346235e-05,112,59,26,24,24,12,-0.005409999248685098,-0.0002254166353618791,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-13,1.0,191,136,53,-0.009475437607760933,-4.960962098304154e-05,85,55,26,24,24,6,-0.007963991056131095,-0.00033183296067212893,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-16,1.0,177,110,49,-0.0019519815938486092,-1.1028144598014741e-05,99,67,26,24,24,12,-0.004508443015420966,-0.0001878517923092069,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-17,1.0,187,128,50,-0.008773366864819013,-4.691640034662573e-05,89,59,26,24,24,13,0.0067942187335810625,0.00028309244723254427,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-18,1.0,177,114,51,-0.0014111078657754448,-7.972360823590083e-06,99,63,26,24,24,11,0.0025376522256727006,0.00010573550940302919,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-19,1.0,211,160,73,-0.00863182346842938,-4.090911596412029e-05,65,51,26,24,24,14,0.0037530255855413803,0.00015637606606422417,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-20,1.0,168,102,38,-0.015170642745672229,-9.030144491471565e-05,108,66,26,24,24,13,0.0037194052188883,0.00015497521745367918,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-23,1.0,197,146,60,-0.009725223485789242,-4.936661667913321e-05,79,51,26,24,24,10,7.683949798213251e-06,3.2016457492555216e-07,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-24,1.0,202,147,63,-0.004589192351328222,-2.2718774016476348e-05,74,55,26,24,24,15,0.008307639679624534,0.0003461516533176889,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-25,1.0,181,117,44,-0.015619932502492936,-8.629796962703279e-05,95,64,26,24,24,10,-0.005502076189227524,-0.00022925317455114685,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-26,1.0,177,119,48,-0.014054220140527093,-7.94023736752943e-05,99,58,26,24,24,14,0.00862677993861533,0.0003594491641089721,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-04-27,1.0,196,148,69,-0.0037569811506045275,-1.9168271176553713e-05,80,48,26,24,24,14,0.006597722611060644,0.00027490510879419353,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-05-01,1.0,180,117,42,-0.013300320617367908,-7.389067009648837e-05,96,63,26,24,24,14,-0.002890173576262391,-0.00012042389901093295,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-05-02,1.0,180,110,37,-0.007510162841129843,-4.1723126895165796e-05,96,70,26,24,24,11,-0.0040244950986531615,-0.00016768729577721505,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
2007-05-07,1.0,159,93,31,-0.010458336261772406,-6.577569975957488e-05,117,66,26,24,24,10,-0.004805095833942326,-0.0002002123264142636,0,0,3da2029ba3fbb11fc16ee31261928c85b9ae5a41dee2b669757adc91f6ef52bf,JNU_INTRADAY_MOMREV_G1_V1
